APT,Origin,TTPs
FIN6,Unknown,"T1560.003,T1566.001,T1087.002,T1059,T1572,T1213,T1027.010,T1059.007,T1102,T1005,T1547.001,T1059.003,T1588.002,T1070.004,T1003.003,T1134,T1562.001,T1068,T1204.002,T1036.004,T1566.003,T1059.001,T1560,T1553.002,T1021.001,T1119,T1018,T1053.005,T1569.002,T1046,T1048.003,T1047,T1110.002,T1555,T1095,T1078,T1573.002,T1003.001,T1555.003,T1074.002"
Silence,Unknown,"T1571,T1053.005,T1055,T1547.001,T1059.005,T1112,T1021.001,T1125,T1059.007,T1218.001,T1072,T1113,T1027.010,T1569.002,T1090.002,T1553.002,T1105,T1078,T1018,T1003.001,T1059.001,T1588.002,T1070.004,T1566.001,T1036.005,T1204.002,T1059.003,T1106"
Patchwork,India,"T1059.005,T1560,T1083,T1553.002,T1574.001,T1112,T1197,T1027.005,T1555.003,T1053.005,T1132.001,T1055.012,T1021.001,T1547.001,T1074.001,T1036.005,T1566.001,T1027.010,T1588.002,T1189,T1204.001,T1518.001,T1203,T1027.002,T1033,T1005,T1204.002,T1587.002,T1070.004,T1119,T1102.001,T1059.003,T1027.001,T1548.002,T1059.001,T1598.003,T1105,T1566.002,T1082,T1559.002"
APT28,Russia,"T1003.003,T1589.001,T1591,T1564.001,T1583.003,T1596,T1583.001,T1070.006,T1090.002,T1566.001,T1059.001,T1048.002,T1547.001,T1027.013,T1203,T1586.002,T1114.002,T1505.003,T1584.008,T1550.002,T1037.001,T1588.002,T1564.003,T1090.003,T1567,T1056.001,T1083,T1190,T1669,T1039,T1113,T1110.001,T1070.001,T1583.006,T1057,T1189,T1595.002,T1546.015,T1199,T1120,T1059.003,T1557.004,T1498,T1070.004,T1560,T1105,T1598,T1559.002,T1036.005,T1119,T1078.004,T1221,T1005,T1213.002,T1078,T1025,T1071.001,T1213,T1218.011,T1560.001,T1140,T1598.003,T1542.003,T1071.003,T1036,T1210,T1014,T1204.002,T1550.001,T1030,T1134.001,T1074.002,T1092,T1098.002,T1003,T1040,T1068,T1137.002,T1528,T1110.003,T1204.001,T1133,T1102.002,T1001.001,T1211,T1003.001,T1573.001,T1074.001,T1091,T1110,T1021.002"
Aoqin Dragon,China,"T1204.002,T1570,T1091,T1027.002,T1587.001,T1083,T1036,T1588.002,T1203"
Cinnamon Tempest,China,"T1047,T1574.001,T1105,T1484.001,T1567.002,T1588.002,T1078,T1657,T1090,T1078.002,T1190,T1059.006,T1140,T1021.002,T1572,T1080,T1543.003,T1059.001,T1059.003"
HEXANE,Iran,"T1016,T1555,T1027.010,T1589,T1082,T1583.001,T1110,T1053.005,T1204.002,T1567.002,T1585.001,T1016.001,T1546.003,T1069.001,T1018,T1021.001,T1586.002,T1110.003,T1102.002,T1588.002,T1555.003,T1059.001,T1608.001,T1589.002,T1585.002,T1033,T1105,T1049,T1057,T1056.001,T1518,T1059.005,T1010,T1591.004,T1583.002,T1534"
Darkhotel,South Korea,"T1518.001,T1497.002,T1027.013,T1573.001,T1080,T1082,T1056.001,T1566.001,T1057,T1140,T1189,T1091,T1497,T1497.001,T1124,T1553.002,T1016,T1083,T1059.003,T1036.005,T1105,T1547.001,T1203,T1204.002"
Ke3chang,China,"T1114.002,T1105,T1087.001,T1033,T1614.001,T1087.002,T1140,T1558.001,T1021.002,T1041,T1119,T1083,T1133,T1018,T1003.002,T1016,T1588.002,T1020,T1007,T1543.003,T1190,T1036.005,T1569.002,T1005,T1071.004,T1213.002,T1027,T1059,T1036.002,T1560,T1069.002,T1560.001,T1003.003,T1057,T1003.001,T1587.001,T1071.001,T1059.003,T1078,T1583.005,T1547.001,T1049,T1056.001,T1003.004,T1078.004,T1082"
Volt Typhoon,China,"T1046,T1083,T1591.004,T1057,T1021.001,T1584.004,T1090,T1518,T1078,T1584.008,T1056.001,T1036.005,T1036.008,T1059.003,T1190,T1555,T1074,T1070.001,T1590,T1560.001,T1124,T1069.002,T1016,T1018,T1047,T1133,T1140,T1570,T1593,T1082,T1589.002,T1497.001,T1003.003,T1027.002,T1573.001,T1003.001,T1584.005,T1592,T1049,T1087.001,T1217,T1059.001,T1654,T1068,T1113,T1090.001,T1587.004,T1090.003,T1594,T1033,T1112,T1505.003,T1218,T1059.004,T1007,T1069,T1584.003,T1555.003,T1591,T1590.004,T1010,T1069.001,T1120,T1070.004,T1588.006,T1105,T1552,T1078.002,T1005,T1006,T1012,T1589,T1588.002,T1596.005,T1087.002,T1614,T1070.007,T1016.001,T1552.004,T1074.001,T1590.006"
Leafminer,Iran,"T1027.010,T1588.002,T1003.001,T1555,T1046,T1003.005,T1555.003,T1552.001,T1003.004,T1055.013,T1189,T1018,T1110.003,T1136.001,T1059.007,T1114.002,T1083"
